Country ISO3,Year,Indicator Code,Value
HUN,2022,BM.GSR.CMCP.ZS,56.0007163253475
HUN,2021,BM.GSR.CMCP.ZS,63.1056717056147
HUN,2020,BM.GSR.CMCP.ZS,65.8936189810972
HUN,2019,BM.GSR.CMCP.ZS,59.8661167984044
HUN,2018,BM.GSR.CMCP.ZS,58.323717635086
HUN,2017,BM.GSR.CMCP.ZS,59.9500117204692
HUN,2016,BM.GSR.CMCP.ZS,60.6013561308064
HUN,2015,BM.GSR.CMCP.ZS,62.5027143352283
HUN,2014,BM.GSR.CMCP.ZS,62.7485946388733
HUN,2013,BM.GSR.CMCP.ZS,64.1557805637396
HUN,2012,BM.GSR.CMCP.ZS,62.0953178490081
HUN,2011,BM.GSR.CMCP.ZS,61.3453609293338
HUN,2010,BM.GSR.CMCP.ZS,60.7072391864072
HUN,2009,BM.GSR.CMCP.ZS,62.3275705859392
HUN,2008,BM.GSR.CMCP.ZS,58.8028831647507
HUN,2007,BM.GSR.CMCP.ZS,61.1895525597474
HUN,2006,BM.GSR.CMCP.ZS,60.176338342377
HUN,2005,BM.GSR.CMCP.ZS,57.2677931683553
HUN,2004,BM.GSR.CMCP.ZS,55.7975792190502
HUN,2003,BM.GSR.CMCP.ZS,52.0052128880161
HUN,2002,BM.GSR.CMCP.ZS,50.1060134765576
HUN,2001,BM.GSR.CMCP.ZS,49.0593609814954
HUN,2000,BM.GSR.CMCP.ZS,45.1090015298796
HUN,1999,BM.GSR.CMCP.ZS,40.2683753773041
HUN,1998,BM.GSR.CMCP.ZS,38.6614449436858
HUN,1997,BM.GSR.CMCP.ZS,37.3296051183586
HUN,1996,BM.GSR.CMCP.ZS,41.7193775049953
HUN,1995,BM.GSR.CMCP.ZS,40.5707540570651
HUN,1994,BM.GSR.CMCP.ZS,60.5110646392669
HUN,1993,BM.GSR.CMCP.ZS,64.6949405731227
HUN,1992,BM.GSR.CMCP.ZS,69.7613139583362
HUN,1991,BM.GSR.CMCP.ZS,67.8502193091565
HUN,1990,BM.GSR.CMCP.ZS,66.3685885387458
HUN,1989,BM.GSR.CMCP.ZS,3.43806479940368
HUN,1988,BM.GSR.CMCP.ZS,6.11248524823382
HUN,1987,BM.GSR.CMCP.ZS,10.8097504838625
HUN,1986,BM.GSR.CMCP.ZS,12.0631617602056
HUN,1985,BM.GSR.CMCP.ZS,26.6944475107627
HUN,1984,BM.GSR.CMCP.ZS,15.2187028657617
HUN,1983,BM.GSR.CMCP.ZS,7.83280985745349
HUN,1982,BM.GSR.CMCP.ZS,6.10607481504636
HUN,2022,PA.NUS.ATLS,372.595833333333
HUN,2021,PA.NUS.ATLS,303.140833333333
HUN,2020,PA.NUS.ATLS,307.996666666667
HUN,2019,PA.NUS.ATLS,290.66
HUN,2018,PA.NUS.ATLS,270.211666666667
HUN,2017,PA.NUS.ATLS,274.433333333333
HUN,2016,PA.NUS.ATLS,281.523333333333
HUN,2015,PA.NUS.ATLS,279.3325
HUN,2014,PA.NUS.ATLS,232.601666666667
HUN,2013,PA.NUS.ATLS,223.695
HUN,2012,PA.NUS.ATLS,225.104166666667
HUN,2011,PA.NUS.ATLS,201.055
HUN,2010,PA.NUS.ATLS,207.944166666667
HUN,2009,PA.NUS.ATLS,202.341666666667
HUN,2008,PA.NUS.ATLS,172.113333333333
HUN,2007,PA.NUS.ATLS,183.625833333333
HUN,2006,PA.NUS.ATLS,210.39
HUN,2005,PA.NUS.ATLS,199.5825
HUN,2004,PA.NUS.ATLS,202.745833333333
HUN,2003,PA.NUS.ATLS,224.306666666667
HUN,2002,PA.NUS.ATLS,257.8633
HUN,2001,PA.NUS.ATLS,286.4875
HUN,2000,PA.NUS.ATLS,282.179166666667
HUN,1999,PA.NUS.ATLS,237.145833333333
HUN,1998,PA.NUS.ATLS,214.401666666667
HUN,1997,PA.NUS.ATLS,186.789166666667
HUN,1996,PA.NUS.ATLS,152.646666666667
HUN,1995,PA.NUS.ATLS,125.7167
HUN,1994,PA.NUS.ATLS,105.1217
HUN,1993,PA.NUS.ATLS,91.9342
HUN,1992,PA.NUS.ATLS,78.9883
HUN,1991,PA.NUS.ATLS,74.735
HUN,1990,PA.NUS.ATLS,63.205
HUN,1989,PA.NUS.ATLS,59.0667
HUN,1988,PA.NUS.ATLS,50.4142
HUN,1987,PA.NUS.ATLS,46.9717
HUN,1986,PA.NUS.ATLS,45.8325
HUN,1985,PA.NUS.ATLS,50.1208
HUN,1984,PA.NUS.ATLS,48.0425
HUN,1983,PA.NUS.ATLS,42.6708
HUN,1982,PA.NUS.ATLS,36.6317
HUN,1981,PA.NUS.ATLS,34.315
HUN,1980,PA.NUS.ATLS,32.5325
HUN,1979,PA.NUS.ATLS,35.58
HUN,1978,PA.NUS.ATLS,37.9117
HUN,1977,PA.NUS.ATLS,40.9617
HUN,1976,PA.NUS.ATLS,41.575
HUN,1975,PA.NUS.ATLS,43.9733
HUN,1974,PA.NUS.ATLS,46.75
HUN,1973,PA.NUS.ATLS,48.9658
HUN,1972,PA.NUS.ATLS,55.259999999
HUN,1971,PA.NUS.ATLS,59.8217
HUN,1970,PA.NUS.ATLS,59.999999999
HUN,1969,PA.NUS.ATLS,59.999999999
HUN,1968,PA.NUS.ATLS,59.999999999
HUN,2022,PA.NUS.PPP,164.158043
HUN,2021,PA.NUS.PPP,154.748155
HUN,2020,PA.NUS.PPP,145.351046
HUN,2019,PA.NUS.PPP,140.828438
HUN,2018,PA.NUS.PPP,139.092451
HUN,2017,PA.NUS.PPP,136.036522
HUN,2016,PA.NUS.PPP,132.033797
HUN,2015,PA.NUS.PPP,132.55351
HUN,2014,PA.NUS.PPP,129.414974
HUN,2013,PA.NUS.PPP,124.979432
HUN,2012,PA.NUS.PPP,125.623608
HUN,2011,PA.NUS.PPP,124.271836
HUN,2010,PA.NUS.PPP,126.417091
HUN,2009,PA.NUS.PPP,127.688976
HUN,2008,PA.NUS.PPP,131.005355
HUN,2007,PA.NUS.PPP,134.049856
HUN,2006,PA.NUS.PPP,131.499035
HUN,2005,PA.NUS.PPP,130.929945
HUN,2004,PA.NUS.PPP,128.381274
HUN,2003,PA.NUS.PPP,122.00604
HUN,2002,PA.NUS.PPP,118.141282
HUN,2001,PA.NUS.PPP,114.418258
HUN,2000,PA.NUS.PPP,110.065369
HUN,1999,PA.NUS.PPP,104.545883
HUN,1998,PA.NUS.PPP,97.820116
HUN,1997,PA.NUS.PPP,87.382509
HUN,1996,PA.NUS.PPP,73.857064
HUN,1995,PA.NUS.PPP,61.469051
HUN,1994,PA.NUS.PPP,49.519935
HUN,1993,PA.NUS.PPP,42.327348
HUN,1992,PA.NUS.PPP,35.728232
HUN,1991,PA.NUS.PPP,30.073818
